,Date,Title,Categories,Cast
0,"Jun 03, 2023","Suga - Agust D Tour ""D-Day"" in Japan: Live Viewing (2023)",Music,
1,"Jun 06, 2023",The God Man (2023),Documentary,David Wagner#Robby Dawkins#Daniel Kolenda#Greg Boyd
2,"Jun 09, 2023",Transformers: El Despertar De Las Bestias (2023),Action#Adventure#Sci-Fi,Michelle Yeoh#Pete Davidson#Colman Domingo#Peter Dinklage
3,"Jun 09, 2023",Mending the Line (2022),Drama,Brian Cox#Sinqua Walls#Perry Mattfeld#Patricia Heaton
4,"Jun 09, 2023",Little Dodo (2023),Animation,Liza Koshy#Stella Hudgens#Jeff Willy#Jack Sliversleeps
5,"Jun 13, 2023",Soul Doctor (2023),,
6,"Jun 16, 2023",Flash (2023),Action#Adventure#Fantasy,Sasha Calle#Ben Affleck#Ezra Miller#Michael Keaton
7,"Jun 16, 2023",Elementos (2023),Animation#Adventure#Comedy,Leah Lewis#Mamoudou Athie#Ronnie Del Carmen#Shila Ommi
8,"Jun 20, 2023",The Evil of Dracula (2023),Horror,Ellen Wing#Miles Jonn-Dalton#Antonio Mayans#Nikolai Malden
9,"Jun 21, 2023",He Killed in Ecstasy (2023),Horror,Ellen Wing#Miles Jonn-Dalton#Antonio Mayans#Pauline Peart
10,"Jun 21, 2023",The Get Rich Quick Scheme (2023),Comedy,Samuel L. Pierce#Tyler Griswold#Rex Nelson#Haley Abella
11,"Jun 23, 2023",Asteroid City (2023),Comedy#Drama#Romance,Jason Schwartzman#Scarlett Johansson#Tom Hanks#Jeffrey Wright
12,"Jun 23, 2023",Hazme El Favor (2023),Comedy,Jennifer Lawrence#Natalie Morales#Ebon Moss-Bachrach#Matthew Broderick
13,"Jun 23, 2023",Past Lives (2023),Drama#Romance,Greta Lee#Teo Yoo#John Magaro#Moon Seung-ah
14,"Jun 23, 2023",God Is a Bullet (2023),Action#Crime#Horror,Ethan Suplee#Nikolaj Coster-Waldau#Maika Monroe#Jamie Foxx
15,"Jun 27, 2023",The Room Celebration (2023),,
16,"Jun 30, 2023",Indiana Jones Y El Dial Del Destino (2023),Action#Adventure,Harrison Ford#Phoebe Waller-Bridge#Mads Mikkelsen#Boyd Holbrook
17,"Jun 30, 2023",Krakens Y Sirenas: Conoce A Los Gillman (2023),Animation#Action#Adventure,Toni Collette#Jane Fonda#Ramona Young#Sam Richardson
18,"Jul 01, 2023",The Forbidden Kingdom (2023),Fantasy,Josh Jackson#Rebecca Lewis#Nikolai Sarnytsky#Jessy Waggoner
19,"Jul 02, 2023",Life's Mapped Out (2023),Action#Drama,Akal Demir#Karen Watson#John Psarakis#Teresa Barragan
20,"Jul 04, 2023",Sound of Freedom (2022),Action#Biography#Drama,Jim Caviezel#Mira Sorvino#Kurt Fuller#Bill Camp
21,"Jul 04, 2023",The Perfect Destiny (2023),Drama#Family#Romance,
22,"Jul 07, 2023",La Noche Del Demonio: La Puerta Roja (2023),Horror#Mystery#Thriller,Rose Byrne#Patrick Wilson#Hiam Abbass#Ty Simpkins
23,"Jul 07, 2023",Locas En Apuros (2023),Comedy,Stephanie Hsu#Ashley Park#David Denman#Desmond Chiam
24,"Jul 07, 2023",Summer Gold (2023),Adventure#Comedy#Family,Jerry O'Connell#Jenna Kanell#Nicholas Logan#Jay Huguley
25,"Jul 12, 2023",Misión Imposible - Sentencia Mortal Parte 1 (2023),Action#Adventure#Thriller,Rebecca Ferguson#Pom Klementieff#Vanessa Kirby#Tom Cruise
26,"Jul 14, 2023",Theater Camp (2023),Comedy,Ben Platt#Molly Gordon#Noah Galvin#Jimmy Tatro
27,"Jul 14, 2023",The Flood (2023),Action#Horror#Thriller,Nicky Whelan#Casper Van Dien#Louis Mandylor#Devanny Pinn
28,"Jul 14, 2023",The Miracle Club (2023),Comedy,Laura Linney#Kathy Bates#Maggie Smith#Agnes O'Casey
29,"Jul 14, 2023",The YouTube Effect (2022),Documentary,Caleb Cain#Steve Chen#Hany Farid#Ryan Kaji
30,"Jul 21, 2023",Barbie (2023),Adventure#Comedy#Fantasy,Margot Robbie#Ryan Gosling#Ariana Greenblatt#Helen Mirren
31,"Jul 21, 2023",Oppenheimer (2023),Biography#Drama#History,Cillian Murphy#Emily Blunt#Matt Damon#Robert Downey Jr.
32,"Jul 21, 2023",Coyote v. Acme (2023),Animation#Adventure#Comedy,John Cena#Lana Condor#Will Forte#P.J. Byrne
33,"Jul 21, 2023",Cobweb (2023),Horror#Thriller,Lizzy Caplan#Antony Starr#Cleopatra Coleman#Ellen Dubin
34,"Jul 28, 2023",Mansión embrujada (2023),Comedy#Drama#Family,Rosario Dawson#Winona Ryder#Jared Leto#Jamie Lee Curtis
35,"Jul 28, 2023",Háblame (2022),Horror#Thriller,Sophie Wilde#Joe Bird#Alexandra Jensen#Otis Dhanji
36,"Aug 02, 2023",Tortugas Ninja: Caos Mutante (2023),Animation#Action#Adventure,Rose Byrne#Paul Rudd#Seth Rogen#John Cena
37,"Aug 04, 2023",Megalodón 2: El Gran Abismo (2023),Action#Adventure#Horror,Jason Statham#Jing Wu#Sienna Guillory#Cliff Curtis
38,"Aug 04, 2023",The Collective (2023),Action,Ruby Rose#Tyrese Gibson#Don Johnson#Mercedes Varnado
39,"Aug 04, 2023",Til Death Do Us Part (2023),Thriller,Cam Gigandet#Jason Patric#Natalie Burn#Orlando Jones
40,"Aug 04, 2023",Dreamin' Wild (2022),Biography#Drama#Music,Chris Messina#Zooey Deschanel#Walton Goggins#Jack Dylan Grazer
41,"Aug 04, 2023",Jessica Frost (2023),Action#Fantasy#Sci-Fi,
42,"Aug 04, 2023",Divine Influencer (2023),Romance,Lara Silva#Debra Stipe#Matt Borlenghi#Princess Elmore
43,"Aug 05, 2023",The Six (2023),Horror,
44,"Aug 10, 2023",Dragonkeeper (2023),Animation,Bill Nighy#Brendan Coyle#Anthony Howell#Bill Bailey
45,"Aug 11, 2023",Gran Turismo: De jugador a corredor (2023),Action#Adventure#Drama,Sang Heon Lee#David Harbour#Orlando Bloom#Djimon Hounsou
46,"Aug 11, 2023",Drácula: Mar De Sangre (2023),Fantasy#Horror,Corey Hawkins#Aisling Franciosi#Liam Cunningham#David Dastmalchian
47,"Aug 11, 2023",Jules (2023),Drama,Zoe Winters#Ben Kingsley#Jane Curtin#Harriet Sansom Harris
48,"Aug 18, 2023",Hijos de Perra (2023),Animation#Adventure#Comedy,Will Ferrell#Sofía Vergara#Jamie Foxx#Isla Fisher
49,"Aug 18, 2023",Blue Beetle (2023),Action#Adventure#Sci-Fi,Susan Sarandon#Raoul Max Trujillo#Harvey Guillén#Xolo Maridueña
50,"Aug 18, 2023",Back on the Strip (2023),Comedy,Kevin Hart#Wesley Snipes#Colleen Camp#Tiffany Haddish
51,"Aug 18, 2023",Paisaje con Mano Invisible (2023),Adventure#Drama#Sci-Fi,Asante Blackk#Brooklynn MacKinzie#Kylie Rogers#John Newberg
52,"Aug 25, 2023",Alas Blancas (2023),Adventure#Biography#Drama,Helen Mirren#Gillian Anderson#Bryce Gheisar#Olivia Ross
53,"Aug 25, 2023",Golda (2023),Biography#Drama#History,Helen Mirren#Zed Josef#Claudette Williams#Henry Goodman
54,"Aug 25, 2023",The Hill (2023),Biography#Drama#Sport,Dennis Quaid#Joelle Carter#Colin Ford#Scott Glenn
55,"Sep 01, 2023",The Equalizer 3 (2023),Action#Crime#Thriller,Denzel Washington#Dakota Fanning#David Denman#Sonia Ammar
56,"Sep 08, 2023",Pobres Criaturas (2023),Romance#Sci-Fi,Margaret Qualley#Emma Stone#Willem Dafoe#Mark Ruffalo
57,"Sep 08, 2023",My Big Fat Greek Wedding 3 (2023),Comedy#Drama#Romance,Elena Kampouris#John Corbett#Lainie Kazan#Nia Vardalos
58,"Sep 08, 2023",The Nun II (2023),Horror#Mystery#Thriller,Storm Reid#Anna Popplewell#Taissa Farmiga#Bonnie Aarons
59,"Sep 15, 2023",A Haunting in Venice (2023),Crime#Drama#Horror,Kelly Reilly#Michelle Yeoh#Kenneth Branagh#Jamie Dornan
60,"Sep 15, 2023",Challengers (2023),Drama#Romance#Sport,Zendaya#Josh O'Connor#Mike Faist#Jake Jensen
61,"Sep 15, 2023",The Outlaw Johnny Black (2023),Action#Comedy#Western,Michael Jai White#Byron Minns#Anika Noni Rose#Erica Ash
62,"Sep 15, 2023",Camp Hideout (2023),Family,Corbin Bleu#Ethan Drew#Amanda Leighton#Christopher Lloyd
63,"Sep 22, 2023",Expend4bles (2023),Action#Adventure#Thriller,Jason Statham#50 Cent#Megan Fox#Dolph Lundgren
64,"Sep 22, 2023",The Blind (2023),Drama,Kerry Knuppe#Amelia Eve#Virginia Tucker#Todd Terry
65,"Sep 22, 2023",The Book of Clarence (2023),Adventure#Drama#History,Teyana Taylor#Benedict Cumberbatch#James McAvoy#David Oyelowo
66,"Sep 29, 2023",Resistencia (2023),Action#Adventure#Drama,Gemma Chan#John David Washington#Ralph Ineson#Allison Janney
67,"Sep 29, 2023",PAW Patrol: The Mighty Movie (2023),Animation#Action#Adventure,Mckenna Grace#James Marsden#Iain Armitage#Kristen Bell
68,"Sep 29, 2023",Malibu Horror Story (2023),Horror#Thriller,Dylan Sprayberry#Robert Bailey Jr.#Valentina de Angelis#Rebecca Forsythe
69,"Sep 29, 2023",We Harvest (2023),Horror#Thriller,Drew Dusterhoff
70,"Sep 29, 2023",Abandonment (2023),,Annie Malee#Richard Dreyfuss#Nick Greene#Bruce Cooper
71,"Sep 30, 2023",The Outsiders (2023),Horror,
72,"Oct 01, 2023",Dick Reno: Monster Slayer (2023),Comedy,Richard Tyson#Dawna Lee Heising#Erika Monet Butters#Yeena Fisher
73,"Oct 01, 2023",Los/Las Idiotas (2023),Comedy,Old-Nick#James Hogan#Alex Altman
74,"Oct 01, 2023",Skelly (2023),Drama#Family,Brian Cox#Torrey DeVitto#Andy Comeau#John Palladino
75,"Oct 06, 2023",Kraven el cazador (2023),Action#Adventure#Sci-Fi,Aaron Taylor-Johnson#Russell Crowe#Christopher Abbott#Ariana DeBose
76,"Oct 06, 2023",Heart of Darkness (2023),Adventure,
77,"Oct 12, 2023",Max & Me (2023),Animation#History,Ashley Greene#David Henrie#Hector Elizondo#Bridger Zadina
78,"Oct 13, 2023",The Exorcist (2023),Horror,Ellen Burstyn#Ann Dowd#Leslie Odom Jr.#Raphael Sbarge
79,"Oct 13, 2023",Ordinary Angels (2023),Drama,Alan Ritchson#Amy Acker#Hilary Swank#Nancy Travis
80,"Oct 20, 2023",Asesinos de la luna de flores (2023),Crime#Drama#History,Leonardo DiCaprio#Robert De Niro#Lily Gladstone#Jesse Plemons
81,"Oct 20, 2023",Dumb Money (2023),Biography#Comedy#Drama,Shailene Woodley#Seth Rogen#Clancy Brown#Pete Davidson
82,"Oct 20, 2023",Herseye Ragmen (2022),Drama,Robert Maaser#Aslihan Malbora#Erkan Petekkaya#Ekin Mert Daymaz
83,"Oct 20, 2023",Radical (2023),Drama,Eugenio Derbez#Daniel Haddad#Jennifer Trejo#Mia Fernanda Solis
84,"Oct 20, 2023",The Underdoggs (2023),Comedy#Sport,Tika Sumpter#Andrew Schulz#Snoop Dogg#George Lopez
85,"Oct 27, 2023",Five Nights at Freddy's (2023),Horror,Josh Hutcherson#Matthew Lillard#Elizabeth Lail#Mary Stuart Masterson
86,"Oct 27, 2023",Juego macabro X (2023),Horror#Mystery#Thriller,Tobin Bell#Shawnee Smith#Steven Brand#Synnøve Macody Lund
87,"Oct 27, 2023",Five Nights ro Freddy's (2023),Horror#Thriller,Lil_eltoxic#Brandon Chiola#Diamondbouncyhousy#Ethan Thompson
88,"Oct 27, 2023",Sight (2023),Biography#Drama#History,Ben Wang#Greg Kinnear#Fionnula Flanagan#Terry Chen
89,"Oct 31, 2023",The First Omen (2023),Horror,Ralph Ineson#Bill Nighy#Nell Tiger Free#Sonia Braga
90,"Oct 31, 2023",The Lost (2023),Horror,
91,"Oct 31, 2023",Listen Carefully (2023),Horror,Ryan Barton-Grimley#Ari Schneider#Simone Barton-Grimley#David Rickabaugh
92,"Oct 31, 2023",The Evil Within (2023),Horror#Thriller,Nicolet Rose
93,"Oct 31, 2023",Crypt of Evil (2023),Horror,Antonio Cantafora#Miles Jonn-Dalton#Gianni Macchia#Malisa Longo
94,"Oct 31, 2023",Dark Haven (2023),Horror#Thriller,Aric Diamani#Emily Coupe#Clark Lichty
95,"Oct 31, 2023",There Is No Sanctuary (2023),Horror,Jaime Reborn#Brittni Carraway
96,"Nov 03, 2023",Dune: Parte Dos (2023),Action#Adventure#Drama,Timothée Chalamet#Zendaya#Rebecca Ferguson#Josh Brolin
97,"Nov 04, 2023",Article 92 (2023),Drama#Sci-Fi,George Bradford Jr.#Antonio Brinson#Autumn Dickson#Liz Drummer
98,"Nov 10, 2023",The Marvels (2023),Action#Adventure#Fantasy,Brie Larson#Samuel L. Jackson#Iman Vellani#Zawe Ashton
